"family","name","group","upstream_status","tasks","installed_loader","studio_catalogued","studio_ids","studio_capabilities","integration","notes","source"
"echo_tts","Echo-TTS","Speech and voice design","experimental","Clone","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/echo_tts.json"
"f5_tts","F5-TTS","Speech and voice design","community","TTS, Clone","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/f5_tts.json"
"firered_audio","FireRedAudio","Speech and voice design","experimental","ASR, TTS, Clone, Design, Ctrl","true","false","","","Family-specific request mapping plus catalogue/config/UI","Also supplies ASR/audio understanding; counted once in speech group.","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/firered_audio.json"
"fireredtts3","FireRedTTS3","Speech and voice design","experimental","TTS, Clone, Design, Ctrl","true","false","","","Family-specific request mapping plus catalogue/config/UI","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/fireredtts3.json"
"fun_asr_nano","Fun-ASR-Nano","Transcription","wip","ASR","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","README presents usable offline support, while model spec still says wip; retain this discrepancy.","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/fun_asr_nano.json"
"glm_tts","GLM-TTS","Speech and voice design","community","TTS, Clone","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/glm_tts.json"
"granite5asr","Granite Speech 5.0 470M TurboCTC","Transcription","supported","ASR","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/granite5asr.json"
"higgs_audio_stt","Higgs Audio v3 STT","Transcription","supported","ASR","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/higgs_audio_stt.json"
"higgs_audio_tts","Higgs Audio v3 TTS","Speech and voice design","supported","TTS, Clone, Ctrl","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/higgs_audio_tts.json"
"hviske_asr","Hviske ASR","Transcription","supported","ASR","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/hviske_asr.json"
"index_tts2","IndexTTS2","Speech and voice design","supported","TTS, Clone, Ctrl","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/index_tts2.json"
"inflect_v2","Inflect Micro v2","Speech and voice design","community","TTS","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/inflect_v2.json"
"irodori_tts","Irodori-TTS","Speech and voice design","supported","TTS, Clone, Design, Ctrl","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","Includes v4.1 Small, new Anime variant, v3 500M and v3 600M VoiceDesign.","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/irodori_tts.json"
"kroko_asr","Kroko Community ASR","Transcription","community","ASR","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/kroko_asr.json"
"magpie_tts","MagpieTTS Multilingual 357M","Speech and voice design","supported","TTS","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/magpie_tts.json"
"meanvc2","MeanVC2","Voice conversion","supported","VC","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/meanvc2.json"
"midashenglm_gen","MiDashengLM-Gen","Music, sound and video","experimental","Music, SFX","true","false","","","Family-specific request mapping plus catalogue/config/UI","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/midashenglm_gen.json"
"minimax_h3","MiniMax-H3","Music, sound and video","experimental","Video, Music, TTS/Dialogue","true","false","","","New or extended task workflow and output/input handling","Audio and video routes; WAV-only Studio output handling is insufficient for the full family.","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/minimax_h3.json"
"minimax_music3","MiniMax Music 3","Music, sound and video","experimental","Music","true","false","","","Family-specific request mapping plus catalogue/config/UI","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/minimax_music3.json"
"miocodec","MioCodec","Voice conversion","supported","Codec, VC","true","false","","","New or extended task workflow and output/input handling","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/miocodec.json"
"miotts","MioTTS","Speech and voice design","supported","TTS, Clone","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/miotts.json"
"mira_tts","MiraTTS","Speech and voice design","experimental","TTS, Clone","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","No packages declared in the current model spec; README describes local conversion.","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/mira_tts.json"
"mms_forced_aligner","Meta MMS-300M Forced Aligner","Alignment","community","Align","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/mms_forced_aligner.json"
"moss_tts_local","MOSS-TTS-Local","Speech and voice design","supported","TTS, Clone, Ctrl","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/moss_tts_local.json"
"moss_tts_nano","MOSS-TTS-Nano","Speech and voice design","supported","TTS, Clone","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/moss_tts_nano.json"
"moss_voicegen","MOSS-VoiceGenerator","Speech and voice design","community","Voice Design","true","false","","","Family-specific request mapping plus catalogue/config/UI","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/moss_voicegen.json"
"muscriptor","MuScriptor","Enhancement and MIDI","supported","MIDI","true","false","","","New or extended task workflow and output/input handling","Audio-to-symbolic MIDI output; no equivalent Studio tool.","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/muscriptor.json"
"nemotron_asr","Nemotron 3.5 ASR","Transcription","supported","ASR","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/nemotron_asr.json"
"neutts","NeuTTS","Speech and voice design","supported","TTS, Ctrl","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/neutts.json"
"outetts","Llama-OuteTTS 1.0","Speech and voice design","community","TTS, Clone","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/outetts.json"
"parakeet_tdt","Parakeet-TDT 0.6B v3","Transcription","community","ASR","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/parakeet_tdt.json"
"personaplex","PersonaPlex","Conversation","supported","Dialogue, S2S","true","false","","","New or extended task workflow and output/input handling","Speech-to-speech conversation; current Studio Voice chat is an ASR -> LLM -> TTS pipeline.","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/personaplex.json"
"pocket_tts","PocketTTS","Speech and voice design","supported","TTS, Clone","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/pocket_tts.json"
"rvc","RVC","Voice conversion","experimental","VC","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/rvc.json"
"sanotts","sanoTTS Nano","Speech and voice design","community","TTS","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/sanotts.json"
"seed_vc","Seed-VC","Voice conversion","supported","VC","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/seed_vc.json"
"sense_asr","SenseVoice-Small","Transcription","community","ASR","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/sense_asr.json"
"soprano_tts","Soprano","Speech and voice design","community","TTS","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/soprano_tts.json"
"sopro_tts","Sopro V2 Turbo","Speech and voice design","community","TTS, Clone","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/sopro_tts.json"
"supertonic","Supertonic 3","Speech and voice design","supported","TTS","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/supertonic.json"
"vibeasr","VibeVoice-ASR-BitNet","Transcription","community","ASR","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","Distinct from VibeVoice ASR; README specifies offline CPU-only BitNet path and conversion step.","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/vibeasr.json"
"vibevoice_asr_streaming","VibeVoice ASR Streaming 7B","Transcription","supported","ASR","false","false","","","Newer runtime plus ASR integration; live mode also needs streaming UI/API","Distinct from existing offline VibeVoice ASR; absent from installed v0.7.3 loader list.","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/vibevoice_asr_streaming.json"
"vietneu_tts","VieNeu-TTS v3 Turbo","Speech and voice design","community","TTS, Clone","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/vietneu_tts.json"
"voxcpm1","VoxCPM1","Speech and voice design","supported","TTS, Clone","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/voxcpm1.json"
"voxtral_realtime","Voxtral Mini 4B Realtime","Transcription","supported","ASR","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/voxtral_realtime.json"
